pvalue,rsq,rsq_a,rsq_diff,coeff,size,var_name,var_descr
0.17586483570945058,0.25180624466287216,"(0.25047434656703382,)",0.0013318980958383353,1.7765073346062829e-06,6754.0,DUID,DWELLING UNIT ID
0.074284769602171868,0.25195646582035325,"(0.25062483514090561,)",0.0013316306794476374,-0.0012023853247829926,6754.0,PID,PERSON NUMBER
0.16034784690886977,0.25182164199871726,"(0.25048977131246652,)",0.0013318706862507357,-0.02104186603097874,6754.0,PANEL,PANEL NUMBER
3.2656670158132114e-13,0.25701053854654077,"(0.25564850470336298,)",0.0013620338431777901,-0.039630626616078746,6559.0,FCSZ1231,FAM SIZE RESPONDING 12/31 CPS FAMILY
0.00029597083041720668,0.25400272265446577,"(0.25267216865206588,)",0.0013305540023998974,0.057910958248389988,6741.0,FCRP1231,REF PERSON OF 12/31 CPS FAMILY
5.8436158819511066e-14,0.25791343500660213,"(0.25659221263569409,)",0.0013212223709080373,-0.039761458099678473,6753.0,RUSIZE31,RU SIZE - R3/1
2.4439291879233414e-15,0.25852885315321672,"(0.25720892231770831,)",0.0013199308355084094,-0.042314207347389221,6754.0,RUSIZE42,RU SIZE - R4/2
1.264480559640098e-13,0.25767426379612379,"(0.25635281166224944,)",0.0013214521338743568,-0.039912650621876232,6754.0,RUSIZE53,RU SIZE - R5/3
1.5610465517285845e-13,0.25762866072650359,"(0.25630712741226502,)",0.0013215333142385655,-0.039831922506965378,6754.0,RUSIZE12,RU SIZE AS OF 12/31/12
0.38835528922182672,0.25168545158605304,"(0.25035333846026042,)",0.0013321131257926222,-0.058141284132251406,6754.0,RUCLAS31,RU FIELDED AS:STANDARD/NEW/STUDENT-R3/1
0.36707051160580428,0.25169316418639887,"(0.25036106479020193,)",0.0013320993961969396,0.08544908002876056,6754.0,RUCLAS42,RU FIELDED AS:STANDARD/NEW/STUDENT-R4/2
0.0095505851239929881,0.25234824088979491,"(0.25101730762925156,)",0.0013309332605433433,-0.25505138589411946,6754.0,RUCLAS53,RU FIELDED AS:STANDARD/NEW/STUDENT-R5/3
0.0095505851239929881,0.25234824088979491,"(0.25101730762925156,)",0.0013309332605433433,-0.25505138589411946,6754.0,RUCLAS12,RU FIELDED AS:STANDARD/NEW/STUD-12/31/12
6.9508069393588403e-14,0.25787587002312218,"(0.25655458077093785,)",0.0013212892521843322,-0.039345499913726177,6753.0,FAMSZE31,RU SIZE INCLUDING STUDENTS - R3/1
3.0686934170965564e-15,0.2584795348456963,"(0.25715951621613808,)",0.0013200186295582172,-0.041869754337992102,6754.0,FAMSZE42,RU SIZE INCLUDING STUDENTS - R4/2
1.0442084113699438e-13,0.25771569369146252,"(0.25639431530907075,)",0.0013213783823917691,-0.039728811066093175,6754.0,FAMSZE53,RU SIZE INCLUDING STUDENTS - R5/3
1.4074322021373765e-13,0.25765108138882087,"(0.25632958798675376,)",0.0013214934020671087,-0.039587503938837434,6754.0,FAMSZE12,RU SIZE INCLUDING STUDENT AS OF 12/31/12
0.69213471213994993,0.25151776481227162,"(0.25018158706424232,)",0.0013361777480292991,0.019030171669788376,6735.0,FMRS1231,MEMBER OF RESPONDING 12/31 FAMILY
1.0606682044744341e-13,0.25660780747871681,"(0.25524711402077671,)",0.0013606934579400987,-0.040669892806014775,6569.0,FAMS1231,FAMILY SIZE OF RESPONDING 12/31 FAMILY
5.208895727982789e-14,0.25786625226732596,"(0.25654514190198063,)",0.0013211103653453238,-0.040091164061160887,6754.0,FAMSZEYR,SIZE OF RESPONDING ANNUALIZED FAMILY
0.00062796272341832777,0.25289978864208984,"(0.25156983722000181,)",0.0013299514220880271,0.054017124682783871,6754.0,FAMRFPYR,REFERENCE PERSON OF ANNUALIZED FAMILY
3.9056017690641247e-07,0.25452724912325353,"(0.25319999793474901,)",0.0013272511885045191,-0.037409431235512013,6753.0,REGION31,CENSUS REGION - R3/1
2.4325358690263187e-07,0.25455646986051472,"(0.25322946758167264,)",0.0013270022788420821,-0.03809804113353002,6754.0,REGION42,CENSUS REGION - R4/2
8.0318864786905157e-07,0.25430156227668099,"(0.25297410622376892,)",0.0013274560529120683,-0.03642711666325392,6754.0,REGION53,CENSUS REGION - R5/3
8.0318864786905157e-07,0.25430156227668099,"(0.25297410622376892,)",0.0013274560529120683,-0.03642711666325392,6754.0,REGION12,CENSUS REGION AS OF 12/31/12
0.34227940098667442,0.25177472686588154,"(0.2504425750442778,)",0.0013321518216037331,0.021131455408755783,6753.0,MSA31,MSA STATUS - R3/1
0.32233822421561142,0.25171157913356801,"(0.25037951251876345,)",0.0013320666148045612,0.02202113935417396,6754.0,MSA42,MSA STATUS - R4/2
0.15716148429583007,0.25182501466829499,"(0.25049314998590644,)",0.0013318646823885505,0.031563731462476138,6754.0,MSA53,MSA STATUS - R5/3
0.15716148429583007,0.25182501466829499,"(0.25049314998590644,)",0.0013318646823885505,0.031563731462476138,6754.0,MSA12,MSA AS OF 12/31/12
0.092481774785512394,0.25191705960520916,"(0.25058535877673593,)",0.0013317008284732257,-0.0012183151053254293,6754.0,REFPRS31,REFERENCE PERSON AT - R3/1
0.2375592702369021,0.25175771325756913,"(0.25042572876848601,)",0.0013319844890831156,-0.00081685621351290432,6754.0,REFPRS42,REFERENCE PERSON AT - R4/2
0.23354276953189884,0.25176039231552438,"(0.2504284125955698,)",0.0013319797199545791,-0.00082920614678563083,6754.0,REFPRS53,REFERENCE PERSON AT - R5/3
0.23320184065657459,0.25176062228251495,"(0.25042864297193634,)",0.0013319793105786015,-0.00082980664225073002,6754.0,REFPRS12,REFERENCE PERSON AS OF 12/31/12
4.0744229776907143e-12,0.25692308401948427,"(0.25560029467194434,)",0.0013227893475399322,-0.10833592300873934,6754.0,RESP31,1ST RESPONDENT INDICATOR FOR R3/1
8.0951104341726941e-18,0.2597663923792991,"(0.25844866455086879,)",0.0013177278284303151,-0.13461027092554601,6754.0,RESP42,1ST RESPONDENT INDICATOR FOR R4/2
1.6282162600065481e-15,0.25861684258924633,"(0.25729706838824806,)",0.0013197742009982694,-0.12508659980212902,6754.0,RESP53,1ST RESPONDENT INDICATOR FOR R5/3
1.6282162600065481e-15,0.25861684258924633,"(0.25729706838824806,)",0.0013197742009982694,-0.12508659980212902,6754.0,RESP12,1ST RESPONDENT INDICATOR AS OF 12/31/12
0.049407404891887774,0.25203145486649603,"(0.25069995767889741,)",0.0013314971875986181,0.21333118699778197,6754.0,PROXY31,WAS RESPONDENT A PROXY IN R3/1
0.057247885792606236,0.25200414731834109,"(0.2506726015191747,)",0.0013315457991663893,0.18540557029798627,6754.0,PROXY42,WAS RESPONDENT A PROXY IN R4/2
0.49720825702481242,0.25165401124209097,"(0.25032184214772879,)",0.0013321690943621789,0.061491007864143923,6754.0,PROXY53,WAS RESPONDENT A PROXY IN R5/3
0.49720825702481242,0.25165401124209097,"(0.25032184214772879,)",0.0013321690943621789,0.061491007864143923,6754.0,PROXY12,WAS RESPONDENT A PROXY AS OF 12/31/12
0.28996469138255881,0.251727159738247,"(0.25039512085927629,)",0.0013320388789707094,-0.00085599428602248077,6754.0,INTVLANG,LANGUAGE INTERVIEW WAS COMPLETED
0.015041166242927952,0.25237024313390721,"(0.25103875647875828,)",0.0013314866551489279,0.0019882199174413636,6751.0,BEGRFD31,R3/1 REFERENCE PERIOD BEGIN DATE: DAY
0.31457184188147591,0.25179340752027757,"(0.25046109128496719,)",0.0013323162353103823,0.0019228766492780242,6752.0,BEGRFM31,R3/1 REFERENCE PERIOD BEGIN DATE: MONTH
0.14796321287559314,0.25190696870140372,"(0.25057505232520449,)",0.001331916376199227,-0.021684916387286424,6753.0,BEGRFY31,R3/1 REFERENCE PERIOD BEGIN DATE: YEAR
0.96999439505117446,0.25164681393143939,"(0.25031423665991204,)",0.0013325772715273576,-3.2646284592814049e-05,6752.0,ENDRFD31,R3/1 REFERENCE PERIOD END DATE: DAY
0.049771012202343139,0.25210186512557775,"(0.25077029574597942,)",0.0013315693795983297,-0.010458347101405051,6753.0,ENDRFM31,R3/1 REFERENCE PERIOD END DATE: MONTH
0.0,0.25167459318223773,"(0.25045347176479282,)",0.0012211214174449037,0.0019420015654365204,6753.0,ENDRFY31,R3/1 REFERENCE PERIOD END DATE: YEAR
0.98702379430833131,0.2516028697663466,"(0.25027060963241921,)",0.0013322601339273987,-1.4109368025723608e-05,6754.0,BEGRFD42,R4/2 REFERENCE PERIOD BEGIN DATE: DAY
0.044807677738080316,0.25204969822262346,"(0.25071823351095912,)",0.001331464711664343,-0.010687262585165107,6754.0,BEGRFM42,R4/2 REFERENCE PERIOD BEGIN DATE: MONTH
0.0,0.25160284039704617,"(0.25038178303192704,)",0.001221057365119127,0.0019432569356608647,6754.0,BEGRFY42,R4/2 REFERENCE PERIOD BEGIN DATE: YEAR
0.54198355429578449,0.25164412860013741,"(0.25031194191317718,)",0.0013321866869602239,0.0005465757347369155,6754.0,ENDRFD42,R4/2 REFERENCE PERIOD END DATE: DAY
0.00075733856313781294,0.25286119101161975,"(0.25153117087990917,)",0.0013300201317105742,-0.022447387452038337,6754.0,ENDRFM42,R4/2 REFERENCE PERIOD END DATE: MONTH
0.0,0.25160284039704617,"(0.25038178303192704,)",0.001221057365119127,0.0019432569356608647,6754.0,ENDRFY42,R4/2 REFERENCE PERIOD END DATE: YEAR
0.49123964487453797,0.25165544562048314,"(0.25032327907953156,)",0.0013321665409515848,0.00061698219516941326,6754.0,BEGRFD53,R5/3 REFERENCE PERIOD BEGIN DATE: DAY
0.0012322772017412404,0.25276124093557129,"(0.25143104287760165,)",0.0013301980579696338,-0.021532886870126916,6754.0,BEGRFM53,R5/3 REFERENCE PERIOD BEGIN DATE: MONTH
0.0,0.25160284039704617,"(0.25038178303192704,)",0.001221057365119127,0.0019432569356608647,6754.0,BEGRFY53,R5/3 REFERENCE PERIOD BEGIN DATE: YEAR
0.18169481342123353,0.25180085901126548,"(0.25046895132815239,)",0.0013319076831130872,0.0010638684982242526,6754.0,ENDRFD53,R5/3 REFERENCE PERIOD END DATE: DAY
0.42659745761923973,0.25167301565964184,"(0.25034088039601854,)",0.0013321352636233019,0.0012379239118350815,6754.0,ENDRFM53,R5/3 REFERENCE PERIOD END DATE: MONTH
0.15402164755519218,0.2518284149828568,"(0.25049655635354273,)",0.0013318586293140644,-0.021365199904738674,6754.0,ENDRFY53,R5/3 REFERENCE PERIOD END DATE: YEAR
0.77838698478123047,0.25161163371130923,"(0.25027938917852999,)",0.0013322445327792476,0.0047706639094709496,6754.0,ENDRFD12,2012 REFERENCE PERIOD END DATE: DAY
0.76709132169064287,0.2516125802778082,"(0.25028033743006062,)",0.0013322428477475778,0.04553545164745737,6754.0,ENDRFM12,2012 REFERENCE PERIOD END DATE: MONTH
0.0,0.25160284039704617,"(0.25038178303192704,)",0.001221057365119127,0.0019432569356608647,6754.0,ENDRFY12,2012 REFERENCE PERIOD END DATE: YEAR
0.0032787113536270262,0.25256213359447055,"(0.25123158109530619,)",0.0013305524991643614,-0.20128166872105674,6754.0,KEYNESS,PERSON KEY STATUS
0.2710518015483509,0.25173733176656243,"(0.25040531099534125,)",0.0013320207712211873,-0.048904568664130468,6754.0,INSCOP31,INSCOPE - R3/1
0.62680233642811789,0.25162908985586685,"(0.25029687639766629,)",0.0013322134582005596,-0.023543273617000947,6754.0,INSCOP42,INSCOPE - R4/2
0.7870692557886394,0.25161094152760766,"(0.25027869576263673,)",0.0013322457649709296,0.013204371745988309,6754.0,INSCOP53,INSCOPE - R5/3
0.84604166200699427,0.25160702649519084,"(0.25027477376086982,)",0.0013322527343210266,0.0095208969407484349,6754.0,INSCOP12,INSCOPE - R5/3 START THROUGH 12/31/12
0.70736054176128071,0.25161848741846282,"(0.25028625508631941,)",0.0013322323321434126,-0.057555378728257986,6754.0,INSC1231,INSCOPE STATUS ON 12/31/12
0.89300329303629788,0.25160484910130942,"(0.25027259249089784,)",0.0013322566104115863,-0.029115894090827071,6754.0,INSCOPE,WAS PERSON EVER INSCOPE IN 2012
0.2326558719666291,0.2517609914022948,"(0.25042901274880525,)",0.0013319786534895517,-0.36527765899467879,6754.0,ELGRND31,ELIGIBILITY - R3/1
0.0,0.25160284039704495,"(0.25038178303192582,)",0.001221057365119127,1.9549169601918537,6754.0,ELGRND42,ELIGIBILITY - R4/2
0.0,0.25160284039704495,"(0.25038178303192582,)",0.001221057365119127,1.9549169601918537,6754.0,ELGRND53,ELIGIBILITY - R5/3
0.0,0.25160284039704495,"(0.25038178303192582,)",0.001221057365119127,1.9549169601918537,6754.0,ELGRND12,ELIGIBILITY STATUS AS OF 12/31/12
0.2117756419051815,0.25177594333849196,"(0.25044399130171124,)",0.0013319520367807147,-0.0024532864988279996,6754.0,PSTATS31,PERSON DISPOSITION STATUS - R3/1
0.06756418923217461,0.25197372467491708,"(0.25064212471884206,)",0.0013315999560750136,0.0061564758015672421,6754.0,PSTATS42,PERSON DISPOSITION STATUS - R4/2
0.010487812060480465,0.2523297444816619,"(0.25099877829471329,)",0.0013309661869486122,-0.0082555772256872571,6754.0,PSTATS53,PERSON DISPOSITION STATUS - R5/3
0.020866208653682473,0.25219527596711899,"(0.25086407040586767,)",0.0013312055612513252,0.081100324150543038,6754.0,RURSLT31,RU RESULT - R3/1
0.061025559553493577,0.25199237529478846,"(0.2506608085396389,)",0.0013315667551495602,0.061327123745315175,6754.0,RURSLT42,RU RESULT - R4/2
0.4337977050094981,0.25167085803132183,"(0.2503387189267936,)",0.0013321391045282294,0.024041057696750877,6754.0,RURSLT53,RU RESULT - R5/3
0.0095984335221638243,0.25241904418078431,"(0.25108803951167002,)",0.0013310046691142885,-0.04844207039010151,6753.0,AGE31X,AGE - R3/1 (EDITED/IMPUTED)
0.026882412381227655,0.25214650591698229,"(0.25081521353766223,)",0.0013312923793200593,-0.03478729030956916,6754.0,AGE42X,AGE - R4/2 (EDITED/IMPUTED)
0.04005725849231153,0.25207073598846941,"(0.25073930872721162,)",0.0013314272612577893,-0.054233057799395828,6754.0,AGE53X,AGE - R5/3 (EDITED/IMPUTED)
1.5709736311632817e-12,0.25160284039704495,"(0.25038178303192582,)",0.001221057365119127,0.0043950240425737266,6754.0,AGE12X,AGE AS OF 12/31/12 (EDITED/IMPUTED)
1.5709736293086342e-12,0.25160284039704461,"(0.25038178303192549,)",0.001221057365119127,0.0021975120213324458,6754.0,AGELAST,PERSON S AGE LAST TIME ELIGIBLE
